Corpus,Scenario,Threat Model,Defense Model,accuracy@1 ↓,accuracy@5 ↓,true_class_confidence ↓,entropy ↑,pinc ↑,bertscore ↑,meteor ↑
RJ,simplification w vocabulary,logreg,Claude-3.5,"0.182 ± 0.044 [0.098, 0.262]","0.353 ± 0.056 [0.244, 0.457]","0.163 ± 0.044 [0.086, 0.245]","0.874 ± 0.081 [0.727, 1.030]","0.746 ± 0.005 [0.737, 0.757]","0.714 ± 0.006 [0.703, 0.724]","0.295 ± 0.006 [0.284, 0.307]"
RJ,simplification w vocabulary,logreg,Ministral,"0.119 ± 0.036 [0.057, 0.185]","0.232 ± 0.054 [0.137, 0.338]","0.119 ± 0.037 [0.054, 0.184]","0.593 ± 0.085 [0.442, 0.756]","0.867 ± 0.004 [0.860, 0.876]","0.534 ± 0.006 [0.523, 0.545]","0.127 ± 0.004 [0.120, 0.136]"
RJ,simplification w vocabulary,svm,Llama-3.1,"0.052 ± 0.038 [0.007, 0.110]","0.171 ± 0.045 [0.091, 0.252]","0.063 ± 0.027 [0.023, 0.114]","3.355 ± 0.033 [3.292, 3.417]","0.874 ± 0.004 [0.867, 0.881]","0.546 ± 0.006 [0.535, 0.557]","0.194 ± 0.005 [0.185, 0.204]"
RJ,simplification w vocabulary,svm,GPT-4o,"0.084 ± 0.032 [0.032, 0.141]","0.404 ± 0.058 [0.292, 0.511]","0.097 ± 0.034 [0.041, 0.159]","3.475 ± 0.030 [3.418, 3.533]","0.578 ± 0.009 [0.561, 0.594]","0.794 ± 0.006 [0.782, 0.805]","0.428 ± 0.011 [0.407, 0.448]"
RJ,simplification w vocabulary,svm,Gemma-2,"0.074 ± 0.030 [0.026, 0.126]","0.235 ± 0.048 [0.145, 0.325]","0.085 ± 0.031 [0.033, 0.140]","2.766 ± 0.074 [2.622, 2.901]","0.866 ± 0.004 [0.859, 0.874]","0.532 ± 0.006 [0.522, 0.543]","0.163 ± 0.005 [0.154, 0.172]"
RJ,simplification w vocabulary,svm,Claude-3.5,"0.083 ± 0.031 [0.031, 0.138]","0.362 ± 0.057 [0.253, 0.466]","0.087 ± 0.033 [0.035, 0.146]","3.477 ± 0.025 [3.430, 3.524]","0.746 ± 0.005 [0.737, 0.757]","0.714 ± 0.006 [0.703, 0.724]","0.295 ± 0.006 [0.284, 0.307]"
RJ,simplification w vocabulary,svm,Ministral,"0.083 ± 0.032 [0.034, 0.142]","0.244 ± 0.051 [0.153, 0.345]","0.067 ± 0.030 [0.021, 0.118]","2.731 ± 0.083 [2.574, 2.885]","0.867 ± 0.004 [0.860, 0.876]","0.534 ± 0.006 [0.523, 0.545]","0.127 ± 0.004 [0.120, 0.136]"
RJ,simplification w vocabulary,roberta,Llama-3.1,"0.036 ± 0.034 [0.004, 0.088]","0.218 ± 0.048 [0.127, 0.303]","0.059 ± 0.026 [0.018, 0.106]","1.540 ± 0.087 [1.385, 1.709]","0.874 ± 0.004 [0.867, 0.881]","0.546 ± 0.006 [0.535, 0.557]","0.194 ± 0.005 [0.185, 0.204]"
RJ,simplification w vocabulary,roberta,GPT-4o,"0.107 ± 0.037 [0.045, 0.175]","0.397 ± 0.058 [0.285, 0.507]","0.113 ± 0.037 [0.044, 0.176]","1.366 ± 0.085 [1.206, 1.526]","0.578 ± 0.009 [0.561, 0.594]","0.794 ± 0.006 [0.782, 0.805]","0.428 ± 0.011 [0.407, 0.448]"
RJ,simplification w vocabulary,roberta,Gemma-2,"0.054 ± 0.039 [0.009, 0.119]","0.226 ± 0.047 [0.142, 0.317]","0.078 ± 0.030 [0.028, 0.131]","1.835 ± 0.073 [1.700, 1.972]","0.866 ± 0.004 [0.859, 0.874]","0.532 ± 0.006 [0.522, 0.543]","0.163 ± 0.005 [0.154, 0.172]"
RJ,simplification w vocabulary,roberta,Claude-3.5,"0.108 ± 0.037 [0.046, 0.176]","0.460 ± 0.059 [0.349, 0.575]","0.093 ± 0.034 [0.037, 0.154]","1.292 ± 0.090 [1.124, 1.464]","0.746 ± 0.005 [0.737, 0.757]","0.714 ± 0.006 [0.703, 0.724]","0.295 ± 0.006 [0.284, 0.307]"
RJ,simplification w vocabulary,roberta,Ministral,"0.031 ± 0.032 [0.002, 0.082]","0.200 ± 0.046 [0.117, 0.288]","0.050 ± 0.025 [0.013, 0.095]","1.599 ± 0.085 [1.432, 1.752]","0.867 ± 0.004 [0.860, 0.876]","0.534 ± 0.006 [0.523, 0.545]","0.127 ± 0.004 [0.120, 0.136]"
