Corpus,Scenario,Threat Model,Defense Model,accuracy@1 ↓,accuracy@5 ↓,true_class_confidence ↓,Entropy ↑,pinc ↑,meteor ↑,bertscore ↑,sbert ↑
RJ,backtranslation via de,logreg,Ministral,"0.057 [0.006, 0.137]","0.233 [0.126, 0.338]","0.079 [0.021, 0.154]","0.768 [0.594, 0.946]",,,,"0.441 [0.411, 0.469]"
RJ,backtranslation via de,logreg,Claude-3.5,"0.029 [0.002, 0.076]","0.296 [0.191, 0.403]","0.053 [0.015, 0.099]","0.729 [0.592, 0.881]",,,,"0.888 [0.877, 0.898]"
RJ,backtranslation via de,svm,Llama-3.1,"0.074 [0.026, 0.126]","0.245 [0.148, 0.339]","0.074 [0.024, 0.127]","3.177 [3.035, 3.308]",,,,"0.506 [0.489, 0.523]"
RJ,backtranslation via de,svm,Gemma-2,"0.074 [0.026, 0.126]","0.215 [0.135, 0.311]","0.075 [0.029, 0.128]","3.306 [3.190, 3.412]",,,,"0.510 [0.493, 0.526]"
RJ,backtranslation via de,svm,GPT-4o,"0.110 [0.046, 0.175]","0.498 [0.389, 0.612]","0.104 [0.042, 0.167]","3.221 [3.091, 3.346]",,,,"0.956 [0.950, 0.961]"
RJ,backtranslation via de,svm,Ministral,"0.056 [0.005, 0.141]","0.251 [0.159, 0.357]","0.074 [0.025, 0.132]","3.227 [3.115, 3.328]",,,,"0.441 [0.411, 0.469]"
RJ,backtranslation via de,svm,Claude-3.5,"0.067 [0.012, 0.146]","0.370 [0.261, 0.482]","0.084 [0.033, 0.141]","3.616 [3.551, 3.677]",,,,"0.888 [0.877, 0.898]"
RJ,backtranslation via de,roberta,Llama-3.1,"0.034 [0.003, 0.083]","0.210 [0.131, 0.302]","0.055 [0.016, 0.097]","1.230 [1.102, 1.377]",,,,"0.506 [0.489, 0.523]"
RJ,backtranslation via de,roberta,Gemma-2,"0.074 [0.026, 0.126]","0.146 [0.071, 0.222]","0.060 [0.017, 0.105]","1.202 [1.061, 1.340]",,,,"0.510 [0.493, 0.526]"
RJ,backtranslation via de,roberta,GPT-4o,"0.165 [0.092, 0.240]","0.424 [0.310, 0.527]","0.176 [0.097, 0.255]","1.180 [1.047, 1.313]",,,,"0.956 [0.950, 0.961]"
RJ,backtranslation via de,roberta,Ministral,"0.036 [0.002, 0.087]","0.154 [0.077, 0.231]","0.052 [0.014, 0.094]","1.663 [1.489, 1.849]",,,,"0.441 [0.411, 0.469]"
RJ,backtranslation via de,roberta,Claude-3.5,"0.182 [0.098, 0.262]","0.290 [0.194, 0.389]","0.174 [0.099, 0.258]","1.577 [1.420, 1.729]",,,,"0.888 [0.877, 0.898]"
