Corpus,Scenario,Threat Model,Defense Model,accuracy@1 ↓,accuracy@5 ↓,true_class_confidence ↓,entropy ↑,pinc ↑,bertscore ↑,meteor ↑
EBG,imitation w 500words,roberta,GPT-4o,"0.515 ± 0.058 [0.411, 0.629]","0.707 ± 0.052 [0.607, 0.804]","0.503 ± 0.057 [0.401, 0.617]","1.526 ± 0.080 [1.371, 1.671]","0.654 ± 0.007 [0.641, 0.666]","0.800 ± 0.004 [0.792, 0.807]","0.474 ± 0.007 [0.461, 0.488]"
EBG,imitation w 500words,roberta,Llama-3.1,"0.585 ± 0.057 [0.481, 0.696]","0.761 ± 0.050 [0.665, 0.849]","0.557 ± 0.057 [0.440, 0.658]","1.389 ± 0.077 [1.245, 1.534]","0.678 ± 0.007 [0.666, 0.691]","0.742 ± 0.005 [0.733, 0.751]","0.412 ± 0.007 [0.397, 0.425]"
EBG,imitation w 500words,roberta,Gemma-2,"0.464 ± 0.057 [0.359, 0.575]","0.678 ± 0.053 [0.577, 0.778]","0.417 ± 0.056 [0.318, 0.531]","1.814 ± 0.086 [1.653, 1.975]","0.753 ± 0.007 [0.740, 0.765]","0.703 ± 0.005 [0.693, 0.713]","0.324 ± 0.008 [0.309, 0.339]"
EBG,imitation w 500words,roberta,Claude-3.5,"0.264 ± 0.053 [0.169, 0.367]","0.502 ± 0.057 [0.402, 0.619]","0.234 ± 0.049 [0.142, 0.326]","1.998 ± 0.081 [1.850, 2.153]","0.863 ± 0.003 [0.858, 0.868]","0.605 ± 0.004 [0.598, 0.612]","0.202 ± 0.003 [0.195, 0.208]"
EBG,imitation w 500words,roberta,Ministral,"0.531 ± 0.057 [0.420, 0.634]","0.721 ± 0.052 [0.621, 0.815]","0.505 ± 0.057 [0.392, 0.610]","1.441 ± 0.078 [1.296, 1.588]","0.621 ± 0.007 [0.607, 0.635]","0.738 ± 0.005 [0.729, 0.748]","0.372 ± 0.009 [0.356, 0.388]"
RJ,imitation w 500words,logreg,Claude-3.5,"0.047 ± 0.040 [0.005, 0.120]","0.325 ± 0.056 [0.219, 0.432]","0.061 ± 0.033 [0.014, 0.116]","0.482 ± 0.070 [0.359, 0.617]","0.833 ± 0.005 [0.824, 0.843]","0.643 ± 0.006 [0.631, 0.655]","0.240 ± 0.006 [0.228, 0.251]"
RJ,imitation w 500words,logreg,Ministral,"0.071 ± 0.049 [0.009, 0.157]","0.385 ± 0.065 [0.265, 0.508]","0.101 ± 0.043 [0.031, 0.177]","0.637 ± 0.089 [0.479, 0.807]","0.659 ± 0.012 [0.638, 0.682]","0.741 ± 0.008 [0.726, 0.756]","0.351 ± 0.014 [0.326, 0.377]"
RJ,imitation w 500words,logreg,Gemma-2,"0.054 ± 0.039 [0.008, 0.121]","0.379 ± 0.058 [0.261, 0.481]","0.067 ± 0.034 [0.017, 0.126]","0.571 ± 0.076 [0.436, 0.719]","0.721 ± 0.008 [0.706, 0.735]","0.734 ± 0.007 [0.722, 0.746]","0.366 ± 0.010 [0.348, 0.386]"
RJ,imitation w 500words,logreg,GPT-4o,"0.115 ± 0.040 [0.049, 0.191]","0.370 ± 0.055 [0.273, 0.480]","0.117 ± 0.038 [0.052, 0.189]","0.734 ± 0.083 [0.586, 0.896]","0.685 ± 0.009 [0.668, 0.702]","0.797 ± 0.006 [0.786, 0.808]","0.419 ± 0.010 [0.399, 0.436]"
RJ,imitation w 500words,logreg,Llama-3.1,"0.090 ± 0.033 [0.032, 0.149]","0.306 ± 0.056 [0.199, 0.407]","0.090 ± 0.033 [0.039, 0.152]","0.623 ± 0.082 [0.469, 0.773]","0.693 ± 0.008 [0.676, 0.708]","0.759 ± 0.007 [0.747, 0.771]","0.412 ± 0.009 [0.395, 0.429]"
RJ,imitation w 500words,svm,Claude-3.5,"0.060 ± 0.042 [0.011, 0.137]","0.288 ± 0.055 [0.187, 0.393]","0.072 ± 0.029 [0.026, 0.123]","2.635 ± 0.098 [2.448, 2.813]","0.833 ± 0.005 [0.824, 0.843]","0.643 ± 0.006 [0.631, 0.655]","0.240 ± 0.006 [0.228, 0.251]"
RJ,imitation w 500words,svm,Ministral,"0.047 ± 0.034 [0.007, 0.103]","0.360 ± 0.059 [0.253, 0.476]","0.077 ± 0.030 [0.029, 0.132]","3.064 ± 0.084 [2.897, 3.210]","0.659 ± 0.012 [0.638, 0.682]","0.741 ± 0.008 [0.726, 0.756]","0.351 ± 0.014 [0.326, 0.377]"
RJ,imitation w 500words,svm,Gemma-2,"0.034 ± 0.031 [0.003, 0.083]","0.314 ± 0.059 [0.208, 0.429]","0.075 ± 0.029 [0.029, 0.128]","2.800 ± 0.085 [2.639, 2.955]","0.721 ± 0.008 [0.706, 0.735]","0.734 ± 0.007 [0.722, 0.746]","0.366 ± 0.010 [0.348, 0.386]"
RJ,imitation w 500words,svm,GPT-4o,"0.029 ± 0.029 [0.003, 0.078]","0.359 ± 0.059 [0.252, 0.476]","0.081 ± 0.031 [0.030, 0.140]","3.328 ± 0.063 [3.210, 3.446]","0.685 ± 0.009 [0.668, 0.702]","0.797 ± 0.006 [0.786, 0.808]","0.419 ± 0.010 [0.399, 0.436]"
RJ,imitation w 500words,svm,Llama-3.1,"0.064 ± 0.044 [0.008, 0.142]","0.378 ± 0.062 [0.261, 0.494]","0.086 ± 0.032 [0.032, 0.143]","3.137 ± 0.072 [3.001, 3.271]","0.693 ± 0.008 [0.676, 0.708]","0.759 ± 0.007 [0.747, 0.771]","0.412 ± 0.009 [0.395, 0.429]"
RJ,imitation w 500words,roberta,Claude-3.5,"0.100 ± 0.034 [0.042, 0.164]","0.332 ± 0.059 [0.222, 0.443]","0.106 ± 0.034 [0.048, 0.170]","1.182 ± 0.080 [1.033, 1.333]","0.833 ± 0.005 [0.824, 0.843]","0.643 ± 0.006 [0.631, 0.655]","0.240 ± 0.006 [0.228, 0.251]"
RJ,imitation w 500words,roberta,Ministral,"0.136 ± 0.039 [0.063, 0.203]","0.279 ± 0.056 [0.174, 0.381]","0.138 ± 0.040 [0.069, 0.213]","1.649 ± 0.076 [1.505, 1.788]","0.659 ± 0.012 [0.638, 0.682]","0.741 ± 0.008 [0.726, 0.756]","0.351 ± 0.014 [0.326, 0.377]"
RJ,imitation w 500words,roberta,Gemma-2,"0.143 ± 0.041 [0.074, 0.223]","0.271 ± 0.051 [0.176, 0.368]","0.146 ± 0.039 [0.076, 0.222]","1.031 ± 0.090 [0.859, 1.197]","0.721 ± 0.008 [0.706, 0.735]","0.734 ± 0.007 [0.722, 0.746]","0.366 ± 0.010 [0.348, 0.386]"
RJ,imitation w 500words,roberta,GPT-4o,"0.146 ± 0.041 [0.070, 0.220]","0.297 ± 0.054 [0.195, 0.399]","0.140 ± 0.040 [0.073, 0.218]","1.589 ± 0.081 [1.438, 1.741]","0.685 ± 0.009 [0.668, 0.702]","0.797 ± 0.006 [0.786, 0.808]","0.419 ± 0.010 [0.399, 0.436]"
RJ,imitation w 500words,roberta,Llama-3.1,"0.154 ± 0.043 [0.077, 0.231]","0.314 ± 0.056 [0.210, 0.424]","0.148 ± 0.041 [0.071, 0.223]","1.609 ± 0.083 [1.457, 1.770]","0.693 ± 0.008 [0.676, 0.708]","0.759 ± 0.007 [0.747, 0.771]","0.412 ± 0.009 [0.395, 0.429]"
