Corpus,Scenario,Threat Model,Defense Model,accuracy@1 ↓,accuracy@5 ↓,true_class_confidence ↓,entropy ↑,pinc ↑,bertscore ↑,meteor ↑
EBG,imitation w 1000words,roberta,Ministral,"0.014 ± 0.019 [0.001, 0.037]","0.142 ± 0.040 [0.068, 0.216]","0.030 ± 0.020 [0.005, 0.064]","1.468 ± 0.080 [1.314, 1.615]","0.926 ± 0.003 [0.920, 0.931]","0.492 ± 0.005 [0.483, 0.501]","0.161 ± 0.004 [0.152, 0.169]"
EBG,imitation w 1000words,roberta,Claude-3.5,"0.302 ± 0.054 [0.198, 0.402]","0.577 ± 0.056 [0.470, 0.682]","0.248 ± 0.049 [0.164, 0.348]","2.094 ± 0.084 [1.935, 2.252]","0.861 ± 0.003 [0.856, 0.866]","0.598 ± 0.003 [0.591, 0.604]","0.207 ± 0.003 [0.201, 0.213]"
EBG,imitation w 1000words,roberta,Gemma-2,"0.014 ± 0.019 [0.001, 0.037]","0.117 ± 0.037 [0.054, 0.185]","0.033 ± 0.020 [0.006, 0.066]","2.281 ± 0.085 [2.117, 2.438]","0.928 ± 0.002 [0.925, 0.932]","0.484 ± 0.003 [0.478, 0.491]","0.148 ± 0.003 [0.142, 0.153]"
EBG,imitation w 1000words,roberta,Llama-3.1,"0.014 ± 0.019 [0.001, 0.037]","0.126 ± 0.038 [0.060, 0.198]","0.030 ± 0.023 [0.005, 0.064]","1.450 ± 0.080 [1.305, 1.605]","0.933 ± 0.002 [0.929, 0.937]","0.497 ± 0.004 [0.489, 0.505]","0.185 ± 0.003 [0.179, 0.192]"
EBG,imitation w 1000words,roberta,GPT-4o,"0.552 ± 0.057 [0.441, 0.659]","0.746 ± 0.050 [0.654, 0.842]","0.505 ± 0.058 [0.397, 0.618]","1.642 ± 0.079 [1.500, 1.800]","0.679 ± 0.006 [0.667, 0.691]","0.780 ± 0.004 [0.772, 0.787]","0.445 ± 0.007 [0.432, 0.458]"
RJ,imitation w 1000words,logreg,Ministral,"0.036 ± 0.035 [0.002, 0.087]","0.250 ± 0.054 [0.152, 0.350]","0.055 ± 0.030 [0.011, 0.103]","0.811 ± 0.087 [0.659, 0.982]","0.900 ± 0.003 [0.894, 0.907]","0.547 ± 0.006 [0.537, 0.558]","0.192 ± 0.005 [0.182, 0.201]"
RJ,imitation w 1000words,logreg,Claude-3.5,"0.107 ± 0.037 [0.045, 0.175]","0.289 ± 0.053 [0.189, 0.385]","0.100 ± 0.036 [0.039, 0.162]","0.505 ± 0.065 [0.388, 0.627]","0.822 ± 0.005 [0.813, 0.831]","0.660 ± 0.006 [0.649, 0.670]","0.265 ± 0.005 [0.255, 0.276]"
RJ,imitation w 1000words,logreg,Gemma-2,"0.041 ± 0.038 [0.003, 0.102]","0.269 ± 0.055 [0.161, 0.369]","0.055 ± 0.028 [0.014, 0.104]","0.818 ± 0.094 [0.640, 0.985]","0.912 ± 0.003 [0.905, 0.918]","0.540 ± 0.006 [0.529, 0.551]","0.210 ± 0.005 [0.200, 0.220]"
RJ,imitation w 1000words,logreg,Llama-3.1,"0.128 ± 0.038 [0.063, 0.201]","0.271 ± 0.052 [0.176, 0.368]","0.107 ± 0.035 [0.047, 0.172]","0.761 ± 0.087 [0.587, 0.918]","0.904 ± 0.003 [0.897, 0.910]","0.550 ± 0.006 [0.539, 0.561]","0.230 ± 0.005 [0.221, 0.240]"
RJ,imitation w 1000words,logreg,GPT-4o,"0.097 ± 0.035 [0.038, 0.160]","0.341 ± 0.058 [0.234, 0.452]","0.103 ± 0.035 [0.043, 0.166]","1.114 ± 0.101 [0.914, 1.294]","0.772 ± 0.006 [0.760, 0.784]","0.766 ± 0.006 [0.754, 0.777]","0.356 ± 0.008 [0.342, 0.370]"
RJ,imitation w 1000words,svm,Ministral,"0.026 ± 0.030 [0.002, 0.066]","0.225 ± 0.051 [0.135, 0.326]","0.065 ± 0.030 [0.019, 0.113]","3.421 ± 0.052 [3.320, 3.514]","0.900 ± 0.003 [0.894, 0.907]","0.547 ± 0.006 [0.537, 0.558]","0.192 ± 0.005 [0.182, 0.201]"
RJ,imitation w 1000words,svm,Claude-3.5,"0.109 ± 0.037 [0.047, 0.178]","0.260 ± 0.050 [0.170, 0.361]","0.095 ± 0.033 [0.042, 0.158]","2.667 ± 0.049 [2.572, 2.757]","0.822 ± 0.005 [0.813, 0.831]","0.660 ± 0.006 [0.649, 0.670]","0.265 ± 0.005 [0.255, 0.276]"
RJ,imitation w 1000words,svm,Gemma-2,"0.040 ± 0.036 [0.004, 0.096]","0.182 ± 0.054 [0.085, 0.282]","0.067 ± 0.027 [0.022, 0.114]","3.478 ± 0.051 [3.385, 3.578]","0.912 ± 0.003 [0.905, 0.918]","0.540 ± 0.006 [0.529, 0.551]","0.210 ± 0.005 [0.200, 0.220]"
RJ,imitation w 1000words,svm,Llama-3.1,"0.041 ± 0.038 [0.004, 0.102]","0.262 ± 0.050 [0.170, 0.357]","0.077 ± 0.031 [0.029, 0.132]","3.321 ± 0.058 [3.210, 3.428]","0.904 ± 0.003 [0.897, 0.910]","0.550 ± 0.006 [0.539, 0.561]","0.230 ± 0.005 [0.221, 0.240]"
RJ,imitation w 1000words,svm,GPT-4o,"0.117 ± 0.038 [0.054, 0.187]","0.369 ± 0.056 [0.258, 0.470]","0.091 ± 0.033 [0.038, 0.153]","3.921 ± 0.021 [3.880, 3.960]","0.772 ± 0.006 [0.760, 0.784]","0.766 ± 0.006 [0.754, 0.777]","0.356 ± 0.008 [0.342, 0.370]"
RJ,imitation w 1000words,roberta,Ministral,"0.053 ± 0.040 [0.009, 0.115]","0.143 ± 0.042 [0.072, 0.221]","0.058 ± 0.026 [0.017, 0.104]","1.637 ± 0.080 [1.495, 1.798]","0.900 ± 0.003 [0.894, 0.907]","0.547 ± 0.006 [0.537, 0.558]","0.192 ± 0.005 [0.182, 0.201]"
RJ,imitation w 1000words,roberta,Claude-3.5,"0.084 ± 0.032 [0.032, 0.141]","0.210 ± 0.046 [0.131, 0.302]","0.084 ± 0.031 [0.031, 0.141]","0.926 ± 0.062 [0.809, 1.039]","0.822 ± 0.005 [0.813, 0.831]","0.660 ± 0.006 [0.649, 0.670]","0.265 ± 0.005 [0.255, 0.276]"
RJ,imitation w 1000words,roberta,Gemma-2,"0.041 ± 0.038 [0.003, 0.102]","0.237 ± 0.049 [0.151, 0.334]","0.069 ± 0.028 [0.022, 0.120]","1.065 ± 0.089 [0.900, 1.232]","0.912 ± 0.003 [0.905, 0.918]","0.540 ± 0.006 [0.529, 0.551]","0.210 ± 0.005 [0.200, 0.220]"
RJ,imitation w 1000words,roberta,Llama-3.1,"0.060 ± 0.043 [0.008, 0.133]","0.181 ± 0.045 [0.099, 0.267]","0.068 ± 0.028 [0.022, 0.119]","1.456 ± 0.075 [1.318, 1.604]","0.904 ± 0.003 [0.897, 0.910]","0.550 ± 0.006 [0.539, 0.561]","0.230 ± 0.005 [0.221, 0.240]"
RJ,imitation w 1000words,roberta,GPT-4o,"0.172 ± 0.043 [0.095, 0.251]","0.262 ± 0.052 [0.168, 0.363]","0.149 ± 0.041 [0.079, 0.229]","1.920 ± 0.085 [1.766, 2.083]","0.772 ± 0.006 [0.760, 0.784]","0.766 ± 0.006 [0.754, 0.777]","0.356 ± 0.008 [0.342, 0.370]"
